設定No,進行目安,種別,地域,マップKey,階層,設定ID,表示ラベル,text,座標,表示条件・関連ID,プロパティ,source,設定パス,修正案,編集メモ
1,序章・5年前～現在への移行,マップログ,リースの山小屋内,REES_MOUNTAIN_HUT,MAP000069-01,,,リースが手入れしている簡素な寝台だ。,"(7,2)",,log,map.js,blockingObjects.0,,
2,序章・5年前～現在への移行,マップログ,リースの山小屋内,REES_MOUNTAIN_HUT,MAP000069-01,,,旅人用に整えられた寝台だ。,"(8,2)",,log,map.js,blockingObjects.1,,
3,第1段階 リュミナ村～北東の洞穴,マップログ,リュミナ村,START_VILLAGE,MAP000002-00,,村の若者と話す,若者が木剣を握りしめている。,,eventId=town_start_villager_2_a,log,map.js,mapActors.1.states.0.action,,
4,第1段階 リュミナ村～北東の洞穴,マップログ,リュミナ村,START_VILLAGE,MAP000002-00,,村人と話す,村人が、北東の穴を見つめている。,,eventId=town_start_villager_1_a,log,map.js,mapActors.0.states.0.action,,
5,第1段階 リュミナ村～北東の洞穴,マップログ,リュミナ村,START_VILLAGE,MAP000002-00,,武器を見る,簡素な武器が並んでいる。,"(8,5)",,log,map.js,mapActions.1,,
6,第1段階 リュミナ村～北東の洞穴,マップログ,リュミナ村,START_VILLAGE,MAP000002-00,,洞穴に入る,北東の洞穴から冷たい風が吹いている。,"(11,1)",,log,map.js,mapActions.3,,
7,第1段階 リュミナ村～北東の洞穴,マップログ,リュミナ村,START_VILLAGE,MAP000002-00,,薬草摘みと話す,籠を抱えた女性が、葉についた泥を払っている。,,eventId=town_start_villager_3_a,log,map.js,mapActors.2.states.0.action,,
8,第1段階 リュミナ村～北東の洞穴,マップログ,リュミナ村,START_VILLAGE,MAP000002-00,,道具を買う,道具屋の看板が出ている。,"(2,9)",,log,map.js,mapActions.0,,
9,第1段階 リュミナ村～北東の洞穴,マップログ,リュミナ村,START_VILLAGE,MAP000002-00,,長老と話す,長老が旅人を待っている。,,,log,map.js,mapActors.3.states.0.action,,
10,第1段階 リュミナ村～北東の洞穴,マップログ,リュミナ村,START_VILLAGE,MAP000002-00,,防具を見る,旅支度用の防具が並んでいる。,"(10,5)",,log,map.js,mapActions.2,,
11,第1段階 リュミナ村～北東の洞穴,ストーリーLOG,北東の洞穴,,,start_cave2,,準備ができたらもう一度話しかけよう,,,LOG action,story.js:5486,actions.1.no.0,,
12,第1段階 リュミナ村～北東の洞穴,マップログ,北東の洞穴,START_CAVE,MAP000003-01,,見張りと話す,見張りが洞穴の封鎖を守っている。,,,log,map.js,mapActors.0.states.0.action,,
13,第2段階 炎の里・イグナ火山,利用不可メッセージ,イグナ火山,IGNIS_VOLCANO,3,,火のプリズムに呼びかける,火のプリズムは、まだこちらの声に応えない。,"(10,4)","requiredFlags=['abyssSpiritPilgrimageStarted', 'firePrismRestored']",lockedText,map.js,mapActions.0,,
14,第2段階 炎の里・イグナ火山,進行制限ログ,イグナ火山,IGNIS_VOLCANO,3,,火山深部へ,火山ガスが淀み、今は進めない。,"(10,1)",requiredFlag=windVillageCleared,lockedLog,map.js,floorLinks.1,,
15,第2段階 炎の里・イグナ火山,マップログ,イグナ火山,IGNIS_VOLCANO,4,,右の排熱弁を回す,赤く焼けた排熱弁を押し込んだ。,"(22,16)",,log,map.js,mapActions.1,,
16,第2段階 炎の里・イグナ火山,マップログ,イグナ火山,IGNIS_VOLCANO,4,,左の排熱弁を回す,煤に埋もれた排熱弁を回した。,"(6,9)",,log,map.js,mapActions.0,,
17,第2段階 炎の里・イグナ火山,移動・操作メッセージ,イグナ火山,IGNIS_VOLCANO,4,,,噴気孔から熱風が吹き上がった。,"(5,9)",,message,map.js,tileEffects.1,,
18,第2段階 炎の里・イグナ火山,移動・操作メッセージ,イグナ火山,IGNIS_VOLCANO,4,,,濃い火山ガスを吸った！,,,message,map.js,tileEffects.0,,
19,第2段階 炎の里・イグナ火山,移動・操作メッセージ,イグナ火山,IGNIS_VOLCANO,4,volcano_deep_flame,,炎を纏う強敵が迫る！,"(23,19)",,message,map.js,tileEffects.3,,
20,第2段階 炎の里・イグナ火山,移動・操作メッセージ,イグナ火山,IGNIS_VOLCANO,4,,,熱風に押し戻された。,"(22,17)",,message,map.js,tileEffects.2,,
21,第2段階 炎の里・イグナ火山,移動・操作メッセージ,イグナ火山,IGNIS_VOLCANO,5,,,炉心の煙が体を焼く！,,,message,map.js,tileEffects.0,,
22,第2段階 炎の里・イグナ火山,移動・操作メッセージ,イグナ火山,IGNIS_VOLCANO,5,volcano_furnace_guard,,炉心の番人が迫る！,"(24,18)",,message,map.js,tileEffects.1,,
23,第2段階 炎の里・イグナ火山,調査ログ,イグナ火山,IGNIS_VOLCANO,5,,炎心炉の試練に挑む,守る剣を試す炎が、炉心の中心で人の形を成している。,"(14,6)",questId=karin_volcano_depths; monsterId=303201,inspectLog,map.js,bosses.0,,
24,第2段階 炎の里・イグナ火山,ストーリーLOG,炎の里イグニシア,,,fire_village_consult,,イグナ火山の異変を調査することになった。,,,LOG action,story.js:6477,actions.4,,
25,第2段階 炎の里・イグナ火山,ストーリーLOG,炎の里イグニシア,,,fire_village_holy_water_briefing,,森の風穴で、妖精の泉を探そう。,,,LOG action,story.js:6571,actions.3,,
26,第2段階 炎の里・イグナ火山,ストーリーLOG,炎の里イグニシア,,,fire_village_report,,鍛冶機能が解放された。北の風の集落へ向かおう。,,,LOG action,story.js:6782,actions.6,,
27,第2段階 炎の里・イグナ火山,マップログ,炎の里イグニシア,FIRE_VILLAGE,MAP000006-00,,イグナ火山へ入る,北の火山道から、熱と魔物の気配が流れてくる。,"(14,1)",requiredStoryStep=2,log,map.js,mapActions.5,,
28,第2段階 炎の里・イグナ火山,マップログ,炎の里イグニシア,FIRE_VILLAGE,MAP000006-00,,カリンと話す,女侍が佇んでいる,,questId=karin_volcano_depths,log,map.js,mapActors.2.states.0.action,,
29,第2段階 炎の里・イグナ火山,マップログ,炎の里イグニシア,FIRE_VILLAGE,MAP000006-00,,武器を見る,鍛冶火が赤く揺れる武器屋だ。,"(7,14)",,log,map.js,mapActions.2,,
30,第2段階 炎の里・イグナ火山,マップログ,炎の里イグニシア,FIRE_VILLAGE,MAP000006-00,,泊まる,熱気をしのげる宿屋がある。,"(21,14)",,log,map.js,mapActions.0,,
31,第2段階 炎の里・イグナ火山,マップログ,炎の里イグニシア,FIRE_VILLAGE,MAP000006-00,,炭運びと話す,煤だらけの男が、背負い籠を下ろした。,,,log,map.js,mapActors.1.states.0.action,,
32,第2段階 炎の里・イグナ火山,マップログ,炎の里イグニシア,FIRE_VILLAGE,MAP000006-00,,道具を買う,火山探索向けの道具屋だ。,"(21,17)",,log,map.js,mapActions.1,,
33,第2段階 炎の里・イグナ火山,マップログ,炎の里イグニシア,FIRE_VILLAGE,MAP000006-00,,里の人と話す,里の西を気にしているようだ。,,eventId=town_fire_villager_2,log,map.js,mapActors.0.states.0.action,,
34,第2段階 炎の里・イグナ火山,マップログ,炎の里イグニシア,FIRE_VILLAGE,MAP000006-00,,里の長に話す,里の長が弱まった炎を見つめている。,,,log,map.js,mapActors.3.states.0.action,,
