時系列No,進行目安,区分,地域・クエスト,会話ID,name,text,charId,行,イベントID,条件・演出備考,参照状態,source,修正案,編集メモ
1,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_WEST_HILL_OPENING,システム,――山奥の小さな村。,,1/7,game_start,"event=game_start; actions=WORLD_STATE(value=1,key=prologueStage) -> FLAG(key=playablePrologueStarted,state=True) -> CONV:PROLOGUE_WEST_HILL_OPENING",現行参照,story.js:94,,
2,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_WEST_HILL_OPENING,システム,眼下の村では、小さな光神の祠へ朝日が差し、白い祈り布が風に揺れている。水路の音に、炊事の匂いが混じっていた。,,2/7,game_start,"event=game_start; actions=WORLD_STATE(value=1,key=prologueStage) -> FLAG(key=playablePrologueStarted,state=True) -> CONV:PROLOGUE_WEST_HILL_OPENING",現行参照,story.js:94,,
3,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_WEST_HILL_OPENING,ルーナ,今日のお供え、これならきっと喜んでもらえるね。あと少しだけ摘んで帰ろう、アルス。,403,3/7,game_start,"event=game_start; actions=WORLD_STATE(value=1,key=prologueStage) -> FLAG(key=playablePrologueStarted,state=True) -> CONV:PROLOGUE_WEST_HILL_OPENING",現行参照,story.js:94,,
4,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_WEST_HILL_OPENING,システム,東の空が、白く弾けた。,,4/7,game_start,"event=game_start; actions=WORLD_STATE(value=1,key=prologueStage) -> FLAG(key=playablePrologueStarted,state=True) -> CONV:PROLOGUE_WEST_HILL_OPENING",現行参照,story.js:94,,
5,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_WEST_HILL_OPENING,ルーナ,……え？,403,5/7,game_start,"event=game_start; actions=WORLD_STATE(value=1,key=prologueStage) -> FLAG(key=playablePrologueStarted,state=True) -> CONV:PROLOGUE_WEST_HILL_OPENING",現行参照,story.js:94,,
6,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_WEST_HILL_OPENING,システム,遅れて、腹の底まで響く轟音。高台が大きく跳ね、山のどこかで土砂が崩れる音がした。,,6/7,game_start,"event=game_start; actions=WORLD_STATE(value=1,key=prologueStage) -> FLAG(key=playablePrologueStarted,state=True) -> CONV:PROLOGUE_WEST_HILL_OPENING",現行参照,story.js:94,,
7,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_WEST_HILL_OPENING,ルーナ,村……！　アルス、私、先に行く！,403,7/7,game_start,"event=game_start; actions=WORLD_STATE(value=1,key=prologueStage) -> FLAG(key=playablePrologueStarted,state=True) -> CONV:PROLOGUE_WEST_HILL_OPENING",現行参照,story.js:94,,
8,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_SOUTH_AMBUSH,ルーナ,きゃあっ……！,403,1/3,prologue_south_arrival,"event=prologue_south_arrival; actions=WORLD_STATE(value=2,key=prologueStage) -> CONV:PROLOGUE_SOUTH_AMBUSH -> BOSS(value=802000); win=FLAG(key=prologueFirstBattleCleared,state=True) -> TEMP_ALLY(charId=403) -> WORLD_STATE(value=3,key=prologueStage) -> HEAL -> CONV:PROLOGUE_SOUTH_AFTER_BATTLE",現行参照,story.js:103,,
9,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_SOUTH_AMBUSH,システム,道の先で、毛を逆立てた魔物がルーナへ飛びかかった。,,2/3,prologue_south_arrival,"event=prologue_south_arrival; actions=WORLD_STATE(value=2,key=prologueStage) -> CONV:PROLOGUE_SOUTH_AMBUSH -> BOSS(value=802000); win=FLAG(key=prologueFirstBattleCleared,state=True) -> TEMP_ALLY(charId=403) -> WORLD_STATE(value=3,key=prologueStage) -> HEAL -> CONV:PROLOGUE_SOUTH_AFTER_BATTLE",現行参照,story.js:103,,
10,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_SOUTH_AMBUSH,アルス,ルーナ！,301,3/3,prologue_south_arrival,"event=prologue_south_arrival; actions=WORLD_STATE(value=2,key=prologueStage) -> CONV:PROLOGUE_SOUTH_AMBUSH -> BOSS(value=802000); win=FLAG(key=prologueFirstBattleCleared,state=True) -> TEMP_ALLY(charId=403) -> WORLD_STATE(value=3,key=prologueStage) -> HEAL -> CONV:PROLOGUE_SOUTH_AFTER_BATTLE",現行参照,story.js:103,,
11,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_LUCION_RECOVER,？？？？,……立って。,,1/2,prologue_south_ambush_retry / prologue_field_wipeout_recover,"event=prologue_south_ambush_retry; actions=CONV:PROLOGUE_LUCION_RECOVER -> HEAL -> BOSS(value=802000); win=FLAG(key=prologueFirstBattleCleared,state=True) -> TEMP_ALLY(charId=403) -> WORLD_STATE(value=3,key=prologueStage) -> HEAL -> CONV:PROLOGUE_SOUTH_AFTER_BATTLE || event=prologue_field_wipeout_recover; actions=HEAL -> CONV:PROLOGUE_LUCION_RECOVER",現行参照,story.js:108,,
12,序章・5年前～現在への移行,メイン・イベント,,PROLOGUE_LUCION_RECOVER,システム,閉じかけた視界に、淡い光がにじむ。痛みが引き、指先に力が戻った。,,2/2,prologue_south_ambush_retry / prologue_field_wipeout_recover,"event=prologue_south_ambush_retry; actions=CONV:PROLOGUE_LUCION_RECOVER -> HEAL -> BOSS(value=802000); win=FLAG(key=prologueFirstBattleCleared,state=True) -> TEMP_ALLY(charId=403) -> WORLD_STATE(value=3,key=prologueStage) -> HEAL -> CONV:PROLOGUE_SOUTH_AFTER_BATTLE || event=prologue_field_wipeout_recover; actions=HEAL -> CONV:PROLOGUE_LUCION_RECOVER",現行参照,story.js:108,,
