"会話ID","name","text","charId","演出備考"
"GAME_START_1","システム","……夜明け前。
村には、不吉な気配が満ちていた。","","種別=会話; 行=1/4; 参照イベント=なし（直接呼出・休眠・旧実装定義を含む）"
"GAME_START_1","システム","（嫌な予感がする……）","","種別=会話; 行=2/4; 参照イベント=なし（直接呼出・休眠・旧実装定義を含む）"
"GAME_START_1","村人","きゃあああっ！！","1003","種別=会話; 行=3/4; 参照イベント=なし（直接呼出・休眠・旧実装定義を含む）"
"GAME_START_1","システム","子供が魔物に襲われている！","","種別=会話; 行=4/4; 参照イベント=なし（直接呼出・休眠・旧実装定義を含む）"
"PROLOGUE_WEST_HILL_OPENING","システム","――5年前。山奥の小さな村。","","種別=会話; 行=1/7; 参照=game_start:actions[2]; event=game_start; actions=[WORLD_STATE(key=""prologueStage"",value=1) -> FLAG(key=""playablePrologueStarted"",state=true) -> CONV(value=""PROLOGUE_WEST_HILL_OPENING"")]"
"PROLOGUE_WEST_HILL_OPENING","システム","眼下の村では、小さな光神の祠へ朝日が差し、白い祈り布が風に揺れている。水路の音に、炊事の匂いが混じっていた。","","種別=会話; 行=2/7; 参照=game_start:actions[2]; event=game_start; actions=[WORLD_STATE(key=""prologueStage"",value=1) -> FLAG(key=""playablePrologueStarted"",state=true) -> CONV(value=""PROLOGUE_WEST_HILL_OPENING"")]"
"PROLOGUE_WEST_HILL_OPENING","ルーナ","今日のお供え、これならきっと喜んでもらえるね。あと少しだけ摘んで帰ろう、アルス。","403","種別=会話; 行=3/7; 参照=game_start:actions[2]; event=game_start; actions=[WORLD_STATE(key=""prologueStage"",value=1) -> FLAG(key=""playablePrologueStarted"",state=true) -> CONV(value=""PROLOGUE_WEST_HILL_OPENING"")]"
"PROLOGUE_WEST_HILL_OPENING","システム","東の空が、白く弾けた。","","種別=会話; 行=4/7; 参照=game_start:actions[2]; event=game_start; actions=[WORLD_STATE(key=""prologueStage"",value=1) -> FLAG(key=""playablePrologueStarted"",state=true) -> CONV(value=""PROLOGUE_WEST_HILL_OPENING"")]"
"PROLOGUE_WEST_HILL_OPENING","ルーナ","……え？","403","種別=会話; 行=5/7; 参照=game_start:actions[2]; event=game_start; actions=[WORLD_STATE(key=""prologueStage"",value=1) -> FLAG(key=""playablePrologueStarted"",state=true) -> CONV(value=""PROLOGUE_WEST_HILL_OPENING"")]"
"PROLOGUE_WEST_HILL_OPENING","システム","遅れて、腹の底まで響く轟音。高台が大きく跳ね、山のどこかで土砂が崩れる音がした。","","種別=会話; 行=6/7; 参照=game_start:actions[2]; event=game_start; actions=[WORLD_STATE(key=""prologueStage"",value=1) -> FLAG(key=""playablePrologueStarted"",state=true) -> CONV(value=""PROLOGUE_WEST_HILL_OPENING"")]"
"PROLOGUE_WEST_HILL_OPENING","ルーナ","村……！　アルス、私、先に行く！","403","種別=会話; 行=7/7; 参照=game_start:actions[2]; event=game_start; actions=[WORLD_STATE(key=""prologueStage"",value=1) -> FLAG(key=""playablePrologueStarted"",state=true) -> CONV(value=""PROLOGUE_WEST_HILL_OPENING"")]"
"PROLOGUE_SOUTH_AMBUSH","ルーナ","きゃあっ……！","403","種別=会話; 行=1/3; 参照=prologue_south_arrival:actions[1]; event=prologue_south_arrival; actions=[WORLD_STATE(key=""prologueStage"",value=2) -> CONV(value=""PROLOGUE_SOUTH_AMBUSH"") -> BOSS(battleBg=""battle_bg_first"",value=802000,lossEventId=""prologue_south_ambush_retry"",bestiaryExcluded=true,noDrops=true,storyVariantOf=2)]; winActions=[FLAG(key=""prologueFirstBattleCleared"",state=true) -> TEMP_ALLY(charId=403,initialLevel=1,expMultiplierPct=100) -> WORLD_STATE(key=""prologueStage"",value=3) -> HEAL -> CONV(value=""PROLOGUE_SOUTH_AFTER_BATTLE"")]"
"PROLOGUE_SOUTH_AMBUSH","システム","道の先で、毛を逆立てた魔物がルーナへ飛びかかった。","","種別=会話; 行=2/3; 参照=prologue_south_arrival:actions[1]; event=prologue_south_arrival; actions=[WORLD_STATE(key=""prologueStage"",value=2) -> CONV(value=""PROLOGUE_SOUTH_AMBUSH"") -> BOSS(battleBg=""battle_bg_first"",value=802000,lossEventId=""prologue_south_ambush_retry"",bestiaryExcluded=true,noDrops=true,storyVariantOf=2)]; winActions=[FLAG(key=""prologueFirstBattleCleared"",state=true) -> TEMP_ALLY(charId=403,initialLevel=1,expMultiplierPct=100) -> WORLD_STATE(key=""prologueStage"",value=3) -> HEAL -> CONV(value=""PROLOGUE_SOUTH_AFTER_BATTLE"")]"
"PROLOGUE_SOUTH_AMBUSH","アルス","ルーナ！","301","種別=会話; 行=3/3; 参照=prologue_south_arrival:actions[1]; event=prologue_south_arrival; actions=[WORLD_STATE(key=""prologueStage"",value=2) -> CONV(value=""PROLOGUE_SOUTH_AMBUSH"") -> BOSS(battleBg=""battle_bg_first"",value=802000,lossEventId=""prologue_south_ambush_retry"",bestiaryExcluded=true,noDrops=true,storyVariantOf=2)]; winActions=[FLAG(key=""prologueFirstBattleCleared"",state=true) -> TEMP_ALLY(charId=403,initialLevel=1,expMultiplierPct=100) -> WORLD_STATE(key=""prologueStage"",value=3) -> HEAL -> CONV(value=""PROLOGUE_SOUTH_AFTER_BATTLE"")]"
"PROLOGUE_LUCION_RECOVER","？？？？","……立って。","","種別=会話; 行=1/2; 参照=prologue_south_ambush_retry:actions[0]; event=prologue_south_ambush_retry; actions=[CONV(value=""PROLOGUE_LUCION_RECOVER"") -> HEAL -> BOSS(battleBg=""battle_bg_first"",value=802000,lossEventId=""prologue_south_ambush_retry"",bestiaryExcluded=true,noDrops=true,storyVariantOf=2)]; winActions=[FLAG(key=""prologueFirstBattleCleared"",state=true) -> TEMP_ALLY(charId=403,initialLevel=1,expMultiplierPct=100) -> WORLD_STATE(key=""prologueStage"",value=3) -> HEAL -> CONV(value=""PROLOGUE_SOUTH_AFTER_BATTLE"")] || 参照=prologue_field_wipeout_recover:actions[1]; event=prologue_field_wipeout_recover; actions=[HEAL -> CONV(value=""PROLOGUE_LUCION_RECOVER"")]"
